"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 15:28:38 GMT 2024","Fri Mar 01 15:28:38 GMT 2024","1","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","dynamicLabelsTest","Создание Issue для авторизованного пользователя",""
"passed","Fri Mar 01 15:28:46 GMT 2024","Fri Mar 01 15:28:48 GMT 2024","2497","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","lambdaStepTest","lambdaStepTest()",""
"passed","Fri Mar 01 15:28:35 GMT 2024","Fri Mar 01 15:28:37 GMT 2024","2468","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","annotatedAttachmentsTest","annotatedAttachmentsTest()",""
"passed","Fri Mar 01 15:28:37 GMT 2024","Fri Mar 01 15:28:38 GMT 2024","1061","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","lambdaAttachmentsTest","lambdaAttachmentsTest()",""
"passed","Fri Mar 01 15:28:38 GMT 2024","Fri Mar 01 15:28:38 GMT 2024","2","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","staticLabelsTest","Создание Issue для авторизованного пользователя",""
"passed","Fri Mar 01 15:28:38 GMT 2024","Fri Mar 01 15:28:43 GMT 2024","4303","","guru.qa.allure.SelenideTest","","guru.qa.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Fri Mar 01 15:28:43 GMT 2024","Fri Mar 01 15:28:46 GMT 2024","3038","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","annotatedTest","annotatedTest()",""
