"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 14:17:49 GMT 2024","Fri Mar 01 14:17:53 GMT 2024","4110","","guru.qa.allure.SelenideTest","","guru.qa.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Fri Mar 01 14:17:48 GMT 2024","Fri Mar 01 14:17:49 GMT 2024","1019","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","lambdaAttachmentsTest","lambdaAttachmentsTest()",""
"passed","Fri Mar 01 14:17:49 GMT 2024","Fri Mar 01 14:17:49 GMT 2024","2","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","dynamicLabelsTest","Создание Issue для авторизованного пользователя",""
"passed","Fri Mar 01 14:17:49 GMT 2024","Fri Mar 01 14:17:49 GMT 2024","2","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","staticLabelsTest","Создание Issue для авторизованного пользователя",""
"passed","Fri Mar 01 14:17:53 GMT 2024","Fri Mar 01 14:17:55 GMT 2024","2095","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","annotatedTest","annotatedTest()",""
"passed","Fri Mar 01 14:17:45 GMT 2024","Fri Mar 01 14:17:48 GMT 2024","2450","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","annotatedAttachmentsTest","annotatedAttachmentsTest()",""
"passed","Fri Mar 01 14:17:55 GMT 2024","Fri Mar 01 14:17:57 GMT 2024","2394","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","lambdaStepTest","lambdaStepTest()",""
