"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 15:46:22 GMT 2024","Fri Mar 01 15:46:22 GMT 2024","2","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","dynamicLabelsTest","Создание Issue для авторизованного пользователя",""
"passed","Fri Mar 01 15:46:18 GMT 2024","Fri Mar 01 15:46:21 GMT 2024","2516","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","annotatedAttachmentsTest","annotatedAttachmentsTest()",""
"failed","Fri Mar 01 15:46:22 GMT 2024","Fri Mar 01 15:46:28 GMT 2024","5740","","guru.qa.allure.SelenideTest","","guru.qa.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Fri Mar 01 15:46:21 GMT 2024","Fri Mar 01 15:46:22 GMT 2024","1012","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","lambdaAttachmentsTest","lambdaAttachmentsTest()",""
"failed","Fri Mar 01 15:46:28 GMT 2024","Fri Mar 01 15:46:33 GMT 2024","4997","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","annotatedTest","annotatedTest()",""
"passed","Fri Mar 01 15:46:22 GMT 2024","Fri Mar 01 15:46:22 GMT 2024","3","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","staticLabelsTest","Создание Issue для авторизованного пользователя",""
"failed","Fri Mar 01 15:46:33 GMT 2024","Fri Mar 01 15:46:38 GMT 2024","4977","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","lambdaStepTest","lambdaStepTest()",""
