"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 15:31:29 GMT 2024","Fri Mar 01 15:31:29 GMT 2024","967","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","lambdaAttachmentsTest","lambdaAttachmentsTest()",""
"passed","Fri Mar 01 15:31:26 GMT 2024","Fri Mar 01 15:31:28 GMT 2024","2344","","guru.qa.allure.AttachmentsTest","","guru.qa.allure.AttachmentsTest","annotatedAttachmentsTest","annotatedAttachmentsTest()",""
"failed","Fri Mar 01 15:31:35 GMT 2024","Fri Mar 01 15:31:40 GMT 2024","5118","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","annotatedTest","annotatedTest()",""
"failed","Fri Mar 01 15:31:40 GMT 2024","Fri Mar 01 15:31:45 GMT 2024","5072","","guru.qa.allure.StepsTest","","guru.qa.allure.StepsTest","lambdaStepTest","lambdaStepTest()",""
"failed","Fri Mar 01 15:31:29 GMT 2024","Fri Mar 01 15:31:35 GMT 2024","5754","","guru.qa.allure.SelenideTest","","guru.qa.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Fri Mar 01 15:31:29 GMT 2024","Fri Mar 01 15:31:29 GMT 2024","2","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","dynamicLabelsTest","Создание Issue для авторизованного пользователя",""
"passed","Fri Mar 01 15:31:29 GMT 2024","Fri Mar 01 15:31:29 GMT 2024","1","","guru.qa.allure.LabelsTest","","guru.qa.allure.LabelsTest","staticLabelsTest","Создание Issue для авторизованного пользователя",""
